// Characters (read)
选[選]	xuan3
很[很]	hen3
银[銀]	yin2
足[足]	zu2
各[各]	ge4
和[和]	he2
所[所]	suo3
因[因]	yin1
路[路]	lu4
斤[斤]	jin1
克[克]	ke4
巾[巾]	jin1
种[種]	zhong3
长[長]	chang2
片[片]	pian4
叶[葉]	ye4
长[長]	zhang3
茶[茶]	cha2
渴[渴]	ke3
禾[禾]	he2
饿[餓]	e4
正[正]	zheng4
喝[喝]	he1
售[售]	shou4
私[私]	si1
买[買]	mai3
要[要]	yao4
用[用]	yong4
主[主]	zhu3
它[它]	ta1
笔[筆]	bi3
竹[竹]	zhu2
笑[笑]	xiao4
卖[賣]	mai4
哭[哭]	ku1
广[廣]	guang3
起[起]	qi3
床[床]	chuang2
厂[厰]	chang3
户[戶]	hu4
想[想]	xiang3
场[場]	chang3
井[井]	jing3
进[進]	jin4
近[近]	jin4
每[每]	mei3
远[遠]	yuan3
冰[冰]	bing1
冷[冷]	leng3
帅[帥]	shuai4
热[熱]	re4
洋[洋]	yang2
美[美]	mei3
华[華]	hua2
入[入]	ru4
哥[哥]	ge1
出[齣]	chu1
清[清]	qing1
楚[楚]	chu3
请[請]	qing3
包[包]	bao1
饱[飽]	bao3
泡[泡]	pao4
母[母]	mu3
打[打]	da3
青[青]	qing1
房[房]	fang2
海[海]	hai3
钱[錢]	qian2
线[線]	xian4
号[號]	hao4
地[地]	di4
止[止]	zhi3
跑[跑]	pao3
步[步]	bu4
快[快]	kuai4
忙[忙]	mang2
块[塊]	kuai4
酒[酒]	jiu3
玩[玩]	wan2
完[完]	wan2
汤[湯]	tang1
市[市]	shi4
练[練]	lian4
全[全]	quan2
事[事]	shi4
情[情]	qing2
坏[壞]	huai4
耳[耳]	er3
取[取]	qu3
糖[糖]	tang2
慢[慢]	man4
回[回]	hui2
听[聽]	ting1
油[油]	you2
由[由]	you2
站[站]	zhan4
立[立]	li4
占[占]	zhan4
篮[籃]	lan2
高[高]	gao1
着[著]	zhe5
看[看]	kan4
兴[興]	xing1
找[找]	zhao3
往[往]	wang3
忘[忘]	wang4
于[於]	yu2
分[分]	fen1
之[之]	zhi1
直[直]	zhi2
弯[彎]	wan1
弓[弓]	gong1
张[張]	zhang1
真[真]	zhen1
假[假]	jia3
具[具]	ju4
而[而]	er2
且[且]	qie3
姐[姐]	jie3
未[未]	wei4
妹[妹]	mei4
末[末]	mo4
弟[弟]	di4
第[第]	di4
奶[奶]	nai3
父[父]	fu4
爸[爸]	ba4
爷[爺]	ye2
姓[姓]	xing4
名[名]	ming2
性[性]	xing4
别[別]	bie2
认[認]	ren4
识[識]	shi2
知[知]	zhi1
道[道]	dao4
经[經]	jing1
常[常]	chang2
兄[兄]	xiong1
风[風]	feng1
雨[雨]	yu3
雪[雪]	xue3
// Words
主要[主要]	zhu3yao4
厨师[廚師]	chu2shi1
工具[工具]	gong1ju4
餐具[餐具]	can1ju4
露台[露臺]	lu4tai2
其他[其他]	qi2ta1
包括[包括]	bao1kuo4
算是[算是]	suan4shi4
院子[院子]	yuan4zi5
开放[開放]	kai1fang4
阳台[陽臺]	yang2tai2
特色[特色]	te4se4
基本上[基本上]	ji1ben3shang5
注意[注意]	zhu4//yi4
交通安全[交通安全]	jiao1tong1 an1quan2
人行道[人行道]	ren2xing2dao4
开药[開藥]	kai1yao4
抽烟[抽煙]	chou1//yan1
室内[室內]	shi4nei4
禁止吸烟[禁止吸煙]	jin4zhi3xi1yan1
禁止[禁止]	jin4zhi3
一些[一些]	yi1xie1
这些[這些]	zhe4xie1
那些[那些]	na4xie1
哪些[哪些]	na3xie1
受欢迎[受歡迎]	shou4huan1ying2
欢迎[歡迎]	huan1ying2
借给[借給]	jie4gei3
大爷[大爺]	da4ye5
叔叔[叔叔]	shu1shu5
习惯[習慣]	xi2guan4
奖金[獎金]	jiang3jin1
奖品[獎品]	jiang3pin3
公共[公共]	gong1gong4
交通警察[交通警察]	jiao1tong1 jing3cha2
共享[共享]	gong4xiang3
电车[電車]	dian4che1
人身安全[人身安全]	ren2shen1an1quan2
进入[進入]	jin4ru4
出门[出門]	chu1//men2
财产[財產]	cai2chan3
安全[安全]	an1quan2
行人[行人]	xing2ren2
车辆[車輛]	che1liang4
宠物[寵物]	chong3wu4
入内[入內]	ru4nei4
管理[管理]	guan3li3
员工[員工]	yuan2gong1
学院[學院]	xue2yuan4
医院[醫院]	yi1yuan4
特点[特點]	te4dian3
校园[校園]	xiao4yuan2
饭店[飯店]	fan4dian4
网店[網店]	wang3dian4
酒精[酒精]	jiu3jing1
饮料[飲料]	yin3liao4
一部分[一部分]	yi1bu4fen5
一小部分[一小部分]	yi1xiao3bu4fen4
重要[重要]	zhong4yao4
部分[部分]	bu4fen5
老板[老闆]	lao3ban3
亲戚[親戚]	qin1qi5
亲人[親人]	qin1ren2
家人[家人]	jia1ren2
相中[相中]	xiang1//zhong4
活动[活動]	huo2dong5
组织[組織]	zu3zhi1
安排[安排]	an1pai2
举办[舉辦]	ju3ban4
搭把手[搭把手]	da1ba3shou3
社会[社會]	she4hui4
交往[交往]	jiao1wang3
成功[成功]	cheng2gong1
失败[失敗]	shi1bai4
聊天[聊天]	liao2tian1
年轻人[年輕人]	nian2qing1ren2
可是[可是]	ke3shi4
介绍[介紹]	jie4shao4
个子[個子]	ge4zi5
身高[身高]	shen1gao1
收入[收入]	shou1ru4
单身[單身]	dan1shen1
参加[參加]	can1jia1
聚会[聚會]	ju4hui4
会议[會議]	hui4yi4
婚礼[婚禮]	hun1li3
参观[參觀]	can1guan1
参与[參與]	can1yu4
团队[團隊]	tuan2dui4
带孩子[帶孩子]	dai4 hai2zi5
看家[看家]	kan1jia1
传统[傳統]	chuan2tong3
思想[思想]	si1xiang3
过马路[過馬路]	guo4ma3lu4
春联[春聯]	chun1lian2
包子[包子]	bao1zi5
饺子[餃子]	jiao3zi5
鞭炮[鞭炮]	bian1pao4
烟花[煙花]	yan1hua1
照片[照片]	zhao4pian1
相片[相片]	xiang4pian1
拍照片[拍照片]	pai1zhao4pian1
自拍[自拍]	zi4pai1
性格[性格]	xing4ge2
春晚[春晚]	chun1wan3
长得[長得]	zhang3de5
春节联欢晚会[春節聯歡晚會]	chun1jie2 lian2huan1 wan3hui4
客人[客人]	ke4ren5
油锅[油鍋]	you2guo1
广场[廣場]	guang3chang3
飞机场[飛機場]	fei1ji1chang3
场合[場合]	chang3he2
场所[場所]	chang3suo3
配不上[配不上]	pei4bu4shang4
农场[農場]	nong2chang3
节奏感[節奏感]	jie2zou4gan3
生活[生活]	sheng1huo2
社交[社交]	she4jiao1
看不上[看不上]	kan4bu5shang4
丰富[豐富]	feng1fu4
机会[機會]	ji1hui5
推荐[推薦]	tui1jian4
青少年[青少年]	qing1shao4nian2
没法[沒法]	mei2fa3
失败是成功之母[失敗是成功之母]	shi1bai4 shi4 cheng2gong1 zhi1 mu3
青年[青年]	qing1nian2
消息[消息]	xiao1xi5
微信[微信]	Wei1xin4
中年人[中年人]	zhong1nian2ren2
老年人[老年人]	lao3nian2ren2
社交生活[社交生活]	she4jiao1 sheng1huo2
配得上[配得上]	pei4de2shang4
昨天[昨天]	zuo2tian1
汉堡[漢堡]	han4bao3
打包[打包]	da3//bao1
恋爱[戀愛]	lian4ai4
女朋友[女朋友]	nü3peng2you5
欧美[歐美]	Ou5-Mei3
女性[女性]	nü3xing4
男性[男性]	nan2xing4
风格[風格]	feng1ge2
方式[方式]	fang1shi4
发现[發現]	fa1xian4
人生[人生]	ren2sheng1
伴侣[伴侶]	ban4lü3
除了[除了]	chu2le5
请问[請問]	qing3wen4
只要[只要]	zhi3yao4
不加[不加]	bu4jia1
品牌[品牌]	pin3pai2
英语[英語]	Ying1yu3
午餐[午餐]	wu3can1
沙龙[沙龍]	sha1long2
平安[平安]	ping2an1
份量[份量]	fen4liang5
纯[純]	chun2
发蓝[發藍]	fa1lan2
蓝黑[藍黑]	lan2hei1
黄片[黃片]	huang2pian4
烟灰[煙灰]	yan1hui1
黑车[黑車]	hei1che1
写作[寫作]	xie3zuo4
阅读[閱讀]	yue4du2
听力[聽力]	ting1li4
造句[造句]	zao4//ju4
组词[組詞]	zu3//ci2
知道了[知道了]	zhi1dao4le5
// Work Related
要买[要買]	yao1mai3
只有[只有]	zhi3you3
沙拉[沙拉]	sha1la1
装[裝]	zhuang1
只能[只能]	zhi3neng2
