帽[帽]	mao4
遇[遇]	yu4
寓[寓]	yu4
侧[側]	ce4
则[則]	ze2
压[壓]	ya1
承[承]	cheng2
诺[諾]	nuo4
若[若]	ruo4
责[責]	ze2
任[任]	ren4
戴[戴]	dai4
脱[脫]	tuo1
醒[醒]	xing3
怕[怕]	pa4
// Write #1
直[直]	zhi2
弓[弓]	gong1
口[口]	kou3
少[少]	shao3
人[人]	ren2
的[的]	de5
你[你]	ni3
好[好]	hao3
园[園]	yuan2
我[我]	wo3
个[個]	ge4
小[小]	xiao3
二[二]	er4
四[四]	si4
七[七]	qi1
八[八]	ba1
十[十]	shi2
九[九]	jiu3
目[目]	mu4
日[日]	ri4
天[天]	tian1
中[中]	zhong1
大[大]	da4
王[王]	wang2
工[工]	gong1
田[田]	tian2
了[了]	le5
子[子]	zi3
去[去]	qu4
六[六]	liu4
一[一]	yi1
土[土]	tu3
又[又]	you4
文[文]	wen2
女[女]	nü3
玉[玉]	yu4
友[友]	you3
多[多]	duo1
外[外]	wai4
力[力]	li4
飞[飛]	fei1
白[白]	bai2
元[元]	yuan2
自[自]	zi4
儿[兒]	er2
男[男]	nan2
五[五]	wu3
三[三]	san1
月[月]	yue4
朋[朋]	peng2
明[明]	ming2
肉[肉]	rou4
方[方]	fang1
千[千]	qian1
贝[貝]	bei4
见[見]	jian4
左[左]	zuo3
内[內]	nei4
万[萬]	wan4
百[百]	bai3
来[來]	lai2
米[米]	mi3
几[幾]	ji3
己[己]	ji3
已[已]	yi3
木[木]	mu4
本[本]	ben3
也[也]	ye3
可[可]	ke3
她[她]	ta1
他[他]	ta1
水[水]	shui3
后[后]	hou4
下[下]	xia4
头[頭]	tou2
右[右]	you4
上[上]	shang4
门[門]	men2
们[們]	men5
问[問]	wen4
间[間]	jian1
开[開]	kai1
巴[巴]	ba1
是[是]	shi4
不[不]	bu4
还[還]	hai2
在[在]	zai4
有[有]	you3
没[沒]	mei2
点[點]	dian3
时[時]	shi2
那[那]	na4
哪[哪]	na3
国[國]	guo2
吗[嗎]	ma5
两[兩]	liang3
电[電]	dian4
早[早]	zao3
卡[卡]	ka3
长[長]	chang2
// Write #2
圆[圓]	yuan2
这[這]	zhe4
零[零]	ling2
气[氣]	qi4
云[云]	yun2
会[會]	hui4
员[員]	yuan2
红[紅]	hong2
年[年]	nian2
牛[牛]	niu2
午[午]	wu3
生[生]	sheng1
羊[羊]	yang2
鱼[魚]	yu2
以[以]	yi3
平[平]	ping2
马[馬]	ma3
火[火]	huo3
给[給]	gei3
公[公]	gong1
关[關]	guan1
色[色]	se4
吧[吧]	ba5
机[機]	ji1
手[手]	shou3
毛[毛]	mao2
前[前]	qian2
面[面]	mian4
车[車]	che1
东[東]	dong1
西[西]	xi1
南[南]	nan2
北[北]	bei3
化[化]	hua4
学[學]	xue2
习[習]	xi2
分[分]	fen1
弯[彎]	wan1
张[張]	zhang1
真[真]	zhen1
假[假]	jia3
具[具]	ju4
而[而]	er2
且[且]	qie3
姐[姐]	jie3
未[未]	wei4
妹[妹]	mei4
末[末]	mo4
弟[弟]	di4
第[第]	di4
奶[奶]	nai3
父[父]	fu4
爸[爸]	ba4
爷[爺]	ye2
姓[姓]	xing4
名[名]	ming2
性[性]	xing4
别[別]	bie2
认[認]	ren4
识[識]	shi2
知[知]	zhi1
道[道]	dao4
经[經]	jing1
常[常]	chang2
兄[兄]	xiong1
风[風]	feng1
雨[雨]	yu3
雪[雪]	xue3
空[空]	kong4
满[滿]	man3
亮[亮]	liang4
暗[暗]	an4
深[深]	shen1
浅[淺]	qian3
丑[醜]	chou3
妞[妞]	niu1
台[颱]	tai2
始[始]	shi3
结[結]	jie2
束[束]	shu4
互[互]	hu4
相[相]	xiang1
晚[晚]	wan3
再[再]	zai4
错[錯]	cuo4
